TimePoint,Area,PositionName,StationCode,Latitude,Longitude,AQI,Quality,Measure,Unheathful,NO2,O3,PM10,PM2_5,SO2,NO,NOx
2023-12-06T04:00:00,北京市,万寿西宫,1001A,39.8784,116.3621,28,优,各类人群可正常活动,空气质量令人满意，基本无空气污染,4,58,28,6,3,—,—
2023-12-06T04:00:00,北京市,定陵,1002A,40.2915,116.2202,18,优,各类人群可正常活动,空气质量令人满意，基本无空气污染,3,57,18,3,3,—,—
2023-12-06T04:00:00,北京市,东四,1003A,39.9289,116.4174,69,良,极少数异常敏感人群应减少户外活动,空气质量可接受，但某些污染物可能对极少数异常敏感人群健康有较弱影响,12,63,88,33,3,—,—
2023-12-06T04:00:00,北京市,天坛,1004A,39.8863,116.4072,25,优,各类人群可正常活动,空气质量令人满意，基本无空气污染,4,67,25,3,4,—,—
2023-12-06T04:00:00,北京市,农展馆,1005A,39.9365,116.462,22,优,各类人群可正常活动,空气质量令人满意，基本无空气污染,11,58,22,2,2,—,—
2023-12-06T04:00:00,北京市,官园,1006A,39.9295,116.3392,36,优,各类人群可正常活动,空气质量令人满意，基本无空气污染,6,66,36,5,2,—,—
2023-12-06T04:00:00,北京市,海淀万柳,1007A,39.9611,116.2878,24,优,各类人群可正常活动,空气质量令人满意，基本无空气污染,14,63,24,3,3,—,—
2023-12-06T04:00:00,北京市,顺义新城,1008A,40.135,116.6636,21,优,各类人群可正常活动,空气质量令人满意，基本无空气污染,5,58,21,3,1,—,—
2023-12-06T04:00:00,北京市,怀柔镇,1009A,40.3275,116.6275,19,优,各类人群可正常活动,空气质量令人满意，基本无空气污染,4,60,14,3,3,—,—
2023-12-06T04:00:00,北京市,昌平镇,1010A,40.217,116.2296,23,优,各类人群可正常活动,空气质量令人满意，基本无空气污染,29,26,23,1,1,—,—
2023-12-06T04:00:00,北京市,奥体中心,1011A,39.9821,116.3966,27,优,各类人群可正常活动,空气质量令人满意，基本无空气污染,20,50,27,4,3,—,—
2023-12-06T04:00:00,北京市,古城,1012A,39.9136,116.184,51,良,极少数异常敏感人群应减少户外活动,空气质量可接受，但某些污染物可能对极少数异常敏感人群健康有较弱影响,2,51,52,6,1,—,—
2023-12-06T04:00:00,北京市,延庆夏都,3281A,40.4529,115.9718,20,优,各类人群可正常活动,空气质量令人满意，基本无空气污染,2,63,20,2,3,—,—
2023-12-06T04:00:00,北京市,平谷新城,3417A,40.1465,117.0709,18,优,各类人群可正常活动,空气质量令人满意，基本无空气污染,5,56,18,3,1,—,—
2023-12-06T04:00:00,北京市,密云新城,3418A,40.4095,116.8336,20,优,各类人群可正常活动,空气质量令人满意，基本无空气污染,7,64,16,2,3,—,—
2023-12-06T04:00:00,北京市,门头沟三家店,3671A,39.9726,116.088,—,—,—,—,—,—,—,—,—,—,—
2023-12-06T04:00:00,北京市,丰台云岗,3672A,39.8204,116.1541,56,良,极少数异常敏感人群应减少户外活动,空气质量可接受，但某些污染物可能对极少数异常敏感人群健康有较弱影响,3,55,61,10,1,—,—
2023-12-06T04:00:00,北京市,通州东关,3673A,39.9081,116.6804,35,优,各类人群可正常活动,空气质量令人满意，基本无空气污染,17,50,35,6,1,—,—
